Date,"Peso (kg)","Masa grasa (kg)","Bone mass (kg)","Muscle mass (kg)","Hidratación (kg)",Comentarios
"2020-05-23 10:14:38",93.75,15.66,,,,
"2020-05-22 07:46:10",93.15,18.89,,,,
"2020-05-20 23:39:00",93.10,13.96,,,,
"2020-05-20 10:15:48",93.35,18.57,,,,
"2020-05-19 23:24:28",93.65,15.99,,,,
"2020-05-19 08:56:28",93.40,18.68,,,,
"2020-05-18 09:22:36",93.20,17.47,,,,
"2020-05-18 00:54:56",93.80,15.15,,,,
"2020-05-18 00:36:37",93.90,18.41,,,,
"2020-05-17 09:41:11",93.65,17.54,,,,
"2020-05-16 23:58:13",94.20,17.21,,,,
"2020-05-16 09:56:54",93.55,16.62,,,,
"2020-05-16 09:56:39",93.50,17.29,,,,
"2020-05-14 16:35:14",92.30,14.24,,,,
"2020-05-13 08:49:03",92.20,17.77,,,,
"2020-05-10 11:48:41",92.40,17.61,,,,
"2020-05-07 11:15:58",91.80,15.42,,,,
"2020-05-07 00:13:27",92.30,15.44,,,,
"2020-05-05 09:15:20",91.55,17.84,,,,
